player_name,player_id,season,season_type,team,poss,mp,raptor_box_offense,raptor_box_defense,raptor_box_total,raptor_onoff_offense,raptor_onoff_defense,raptor_onoff_total,raptor_offense,raptor_defense,raptor_total,war_total,war_reg_season,war_playoffs,predator_offense,predator_defense,predator_total,pace_impact
Precious Achiuwa,achiupr01,2022,PO,TOR,320,167,-3.385685203776305,-1.138677086221803,-4.524362289998108,1.74374902879217,.4575684147203032,2.201317443512473,-2.520265033230473,-.7861598666134363,-3.306424899843909,-.0487248125720873,0,-.0487248125720873,-3.83363082344493,-.5801132454348137,-4.413744068879744,-.3413788198214011
Precious Achiuwa,achiupr01,2022,RS,TOR,3482,1725,-2.440085578634366,2.028807614288715,-.411277964345651,-2.002032947968474,3.332119006825285,1.330086058856811,-2.515225232815516,2.40898737099846,-.1062378618170565,2.308992175944256,2.308992175944256,0,-2.355397835140999,2.263422189030971,-.0919756461100283,-.7637297825762545
Steven Adams,adamsst01,2022,PO,MEM,245,114,.2967918448573685,.6917918195572033,.9885836644145718,6.502606595095904,-7.092493115438747,-.5898865203428425,1.568403830801143,-.9734416802357715,.5949621505653715,.2006465817702984,0,.2006465817702984,.8753181660709176,-1.916043242166819,-1.040725076095901,-.003397416384154
Steven Adams,adamsst01,2022,RS,MEM,4147,1999,.4682604909048489,1.487304320264981,1.95556481116983,6.283696122403891,-2.950956909449357,3.332739212954533,1.68158816560731,.6153243833730391,2.296912548980349,5.134063214325534,5.134063214325534,0,1.423100346316885,1.786511687581252,3.209612033898136,-.25706311037169
Bam Adebayo,adebaba01,2022,PO,MIA,895,460,.2399165826054567,3.644144091615351,3.884060674220807,8.900353378100494,1.584562981729982,10.48491635983047,2.008271055227831,3.348969136209595,5.357240191437426,1.935833465161989,0,1.935833465161989,.6715558397138879,3.894404755568114,4.565960595282002,-1.318280554890519
Bam Adebayo,adebaba01,2022,RS,MIA,3696,1825,-.4438864001205096,3.774768209275835,3.330881809155326,.7055760320031467,4.176239624834866,4.881815656838013,-.253604000911512,4.048539180045972,3.79493517913446,6.115772515018649,6.115772515018649,0,.3654189711762084,3.449008273126791,3.814427244302999,.3558501385243119
Santi Aldama,aldamsa01,2022,RS,MEM,763,360,-2.613890469016299,-2.395257725524919,-5.009148194541218,-2.739330855581226,1.185587628179842,-1.553743227401384,-2.841832778196088,-1.839811511903275,-4.681644290099363,-.3560573174314984,-.3560573174314984,0,-1.685459405153471,-2.265721088470951,-3.951180493624422,.3575037261770667
LaMarcus Aldridge,aldrila01,2022,RS,BRK,2205,1050,-.5012009143739955,2.319159434866827,1.817958520492831,1.090318564911179,-.4505166428202907,.6398019220908882,-.2292373886822863,1.895970615281394,1.666733226599107,2.360744735337164,2.360744735337164,0,.2975125873167213,.9047387640234589,1.20225135134018,-.2258400580116098
Nickeil Alexander-Walker,alexani01,2022,PO,UTA,12,5,25.61356111847872,9.366971108212931,34.98053222669165,3.785763293420325,11.44061959935076,15.22638289277109,22.71935119463354,10.43121454981196,33.15056574444551,.0959399006069669,0,.0959399006069669,16.45291763345751,9.017512625124994,25.47043025858251,1.532988217237041
Nickeil Alexander-Walker,alexani01,2022,RS,UTA,308,149,-2.337342402104861,1.305490713062292,-1.031851689042569,-.0492492114858939,.5841372612620511,.5348880497761572,-2.09007287740938,1.184582264826814,-.9054906125825659,.1410474212302835,.1410474212302835,0,-1.808410645336895,.1228038473971291,-1.685606797939766,.5906538252004991
